x,y,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114
5,0.2222,81.126,81.549,80.135,83.429,86.202,81.022,77.816,78.094,81.846,72.152,80.554,81.57,75.01,81.234,84.397,76.256,73.357,72.858,84.941,77.334,75.985,82.36,86.491,81.381,81.973,77.461,81.83,85.145,79.801,80.19,79.985,76.013,80.143,78.665,80.367,79.761,73.72,81.124,83.498,82.778,81.805,79.034,76.402,76.159,75.126,80.748,90.813,120,81.9,77.522,74.557,81.986,78.103,120,79.045,84.657,80.026,79.212,80.743,82.866,87.1,120,82.243,81.965,80.915,80.848,75.613,73.137,75.801,73.875,120,80.133,82.717,78.56,76.194,81.582,80.581,79.65,81.844,72.453,82.743,79.861,81.564,72.204,81.803,79.182,84.655,85.594,76.73,80.624,82.437,80.897,84.085,86.257,78.139,69.084,75.908,80.606,86.144,79.536,78.385,80.22,77.434,76.107,74.741,79.219,86.812,78.39,72.798,74.542,80.563,81.953,77.949,68.957
5,1.6717,89.155,89.711,89.529,91.235,90.843,90.045,89.308,86.304,85.179,80.844,88.806,90.162,89.088,87.67,88.739,86.338,88.16,87.039,89.468,89.619,90.066,90.454,91.849,90.374,89.783,87.643,85.887,89.25,89.229,90.231,89.139,86.332,88.062,85.427,88.55,89.851,87.07,87.275,90.634,89.077,89.109,87.383,85.029,87.146,88.209,88.354,91.282,120,89.792,86.489,77.939,89.503,88.763,120,83.314,91.8,90.822,89.779,89.741,90.675,92.796,120,91.771,89.346,90.388,87.421,83.677,84.358,85.202,86.088,120,89.316,86.688,88.565,88.97,88.003,90.293,87.644,86.41,85.061,87.466,88.746,86.09,86.646,89.692,87.553,89.222,92.531,87.373,89.149,90.4,88.603,92.018,92.232,90.977,86.067,91.711,90.808,93.109,91.386,90.434,92.476,91.728,89.229,90.619,91.44,93.445,93.093,91.148,92.051,93.084,93.932,91.916,85.356
5,2.438,101.05,102.02,101.47,104.51,104.6,102.15,101.99,101.09,99.636,93.236,100.7,102.16,102.34,101.8,101.72,99.022,102.32,100.26,102.14,102.78,103.03,104.48,105.03,103.07,102.55,100.09,78.281,101.83,102.5,102.11,102.69,101.56,100.22,99.684,101.67,101.5,99.094,97.967,104,101.21,102.45,99.547,97.131,100.49,101.5,100.88,104.5,120,104.15,99.095,84.556,102.89,103.43,120,97.038,105.7,104.77,103.04,102.88,105.35,105.55,120,105.84,102.47,104.92,103.37,97.933,98.097,97.571,99.175,120,101.82,100.95,101.65,102.24,101.93,102.83,100.91,100.1,98.582,100.58,102.39,98.536,98.574,102.48,99.481,102.67,104.42,99.814,101.39,103.52,100.72,105.09,104.44,103.41,98.923,102.42,103.11,106.75,103.56,103.07,105.1,104.78,101.72,104.12,103.74,105.52,104.55,102.97,102.9,104.49,107.44,100.88,98.072
5,2.595,102.39,104.56,103.22,107.02,107.45,103.93,104.26,103.86,102.99,97.711,104.44,105.1,105.32,104.1,106.74,102.1,104.56,103.09,106.27,105.81,106.65,107.65,109.3,106.15,104.69,102.73,75.713,106.84,105.21,104.53,103.14,106.7,103.4,104.24,105.01,104.99,101.45,101.73,107.52,104.98,106.14,105.26,99.331,104.81,105.71,104.35,105.96,120,108.89,102.19,83.685,106.49,106.63,120,100.57,108.2,106.87,105.79,105.59,108.74,109.39,120,108.97,105.46,107.7,106.81,101.95,101.22,101.45,102.2,120,104.75,104.99,104.95,103.47,106.1,107.36,106.14,102.92,101.34,106.23,106.92,102.48,102.92,106.34,103.32,105.54,108.15,103.08,104.32,108.33,105.52,107.92,108.58,106.01,100.37,105.8,105.48,109.35,106.23,105.79,108.05,106.54,104.84,107.45,106.21,109.12,109,104.41,106.11,107.44,113.94,103.14,101.47
5,3.3659,101.18,102.73,101.57,105.23,105.49,102.76,103.48,101.95,100.65,95.583,102.49,103.58,104.05,102.46,105.74,101.69,103.45,101.99,104.63,104.65,106,106.13,107.78,105.43,104.62,101.37,73.731,104.95,104.26,103.87,99.763,105.18,102.24,103.41,104.24,104.25,100.43,100.38,106.69,104.07,103.95,104.19,96.831,104.31,106.81,100.46,105.02,120,106.7,101.13,81.947,105.52,105.68,120,99.181,107.25,105.68,105.19,104.45,107.28,109.09,120,107.65,103.8,106.93,106.23,99.983,98.888,101.37,100.5,120,104.06,104.79,103.83,103.89,104.63,105.38,105.23,102.88,100.4,104.57,105.56,100.63,103.08,106.11,103.25,104.76,107.82,102.77,103.08,107,102.54,106.69,107.04,105.41,99.007,105.31,104.92,108.18,105.48,105.05,107.19,105.1,103.76,105.63,104.8,108.35,108.43,58.856,103.54,106.12,112.42,102.16,99.476
5,4.179,99.614,101.27,101.43,104.07,105.06,101.68,103.38,101.72,101.09,96.327,101.91,102.94,103.9,102.4,105.98,101.79,103.52,102.36,105.51,104.48,105.95,105.88,108.02,105.63,104.79,100.82,72.797,106.01,104.1,103.99,102.94,105.69,102.88,103.67,104.66,104.01,99.912,100.33,106.84,103.56,103.03,104.16,97.777,104.16,106.95,99.035,103.93,120,105.9,100.9,82.098,105.51,105.73,120,100.75,107.01,106.52,105.15,104.37,107.94,109.83,120,108.4,103.84,106.9,106.5,99.53,99.202,100.91,101.43,120,103.22,105.31,105.06,103.61,104.1,103.77,104.66,99.522,100.55,104.7,106.64,101.34,102.6,106.22,103.89,104.82,108.5,103.48,102.6,106.43,102.37,107.43,108.02,104.84,97.894,104.06,104,108.47,104.49,103.74,107.46,104.28,102.87,104.92,103.63,108.62,107.1,93.235,104.08,105.48,111.36,103.06,99.406
5,4.9076,102.55,100.17,102.46,106.57,106.85,103.21,104.57,103.55,102.71,96.771,103.53,103.69,105.31,104.1,107.45,103.55,104.8,105.44,106.63,105.21,107.17,107.65,109.79,107.43,105.91,102.78,78.585,107.64,103.98,105.02,104.17,106.64,104.59,105.02,105.43,104.82,101.22,105.01,108.31,105.28,104.35,104.68,98.879,105.04,106.75,101.45,106.02,120,105.97,102.04,87.033,107.55,106.81,120,101.73,108.22,107.92,106.55,107.39,109.71,110.39,120,108.75,104.68,108.27,107.41,101.6,100.11,101.3,103.28,120,104.3,105.73,106.12,106,103,103.87,105.72,102.67,101.59,105.49,106.94,103.3,103.91,106.94,105.15,106.07,109.24,104.37,104.17,107.8,104.21,108.68,109.05,105.1,97.653,105.11,105.52,110.39,105.21,105.81,108.89,106.17,104.62,106.53,105.72,110.76,108.29,104.74,105.87,106.16,112.53,105.43,99.624
5,5.5498,105.96,101.62,106.78,110.95,111,108.14,109.36,107.3,107.1,102.36,108.2,108.54,109.52,107.24,111.34,108.32,109.15,111.23,110.83,109.48,112.6,111.8,113.51,111.05,109.97,106.56,80.876,112.12,109.11,108.85,107.75,111.34,107.82,109.04,109.52,109.23,105.75,108.77,111.86,109.39,107.97,106.25,103.92,109.46,111.32,105.92,110.07,120,109.27,106.41,90.705,111.66,111.51,120,107.35,112.72,112.18,111.03,111.22,113.82,113.61,120,113.1,107.73,112.44,111.84,106.47,103.67,106.67,106.79,120,108.49,109.73,111.39,109.6,106.63,107.74,110.25,103.18,105.72,110.03,110.87,108.37,107.17,111.66,109,110.24,112.36,108.8,108.3,110.79,107.39,112.38,111.9,109.64,97.935,109.11,109.06,113.37,109.63,109.66,112.45,110.22,108.62,110.6,110.96,113.3,112,109.18,109.31,110.4,116.25,110.47,104.59
5,6.199,104.73,101.51,106.99,110.85,111.14,108.08,108.81,107.75,108.79,104.04,109.26,109.5,112.01,106.49,113,109.83,111.42,113.03,112.3,110.72,114.08,113.14,114.62,112.29,110.79,107.15,77.432,113.4,110.08,108.93,109.47,112.81,110.55,111.32,111,110.98,107.85,111.29,113.45,111.56,110.08,105.85,105.51,111.7,113.4,108.78,111.09,120,111.27,108.33,91.749,112.85,113.16,120,108.61,113.86,112.67,111.96,112.83,114.74,115.4,120,114.17,109.79,113.98,114.01,109.34,105.86,107.93,108.82,120,109.83,112.62,113.37,112.41,108.01,110.75,112.82,107.04,107.55,111.64,113.43,111.35,109.77,113.73,111.54,112.39,114.03,111.81,109.84,113.17,107.78,114.28,113.13,110.7,95.381,109.96,110.76,114.81,110.65,111.12,114.69,111.27,110.05,111.49,112.42,115.29,111.99,110.14,109.31,111.22,116.66,111.77,105.38
5,7.2971,97.668,101.71,101.83,104.76,105.15,103.59,104.22,100.27,107.71,102.8,108.89,108.43,110.66,108.63,111.77,109.08,110.48,111.56,111.71,110.33,113.18,112.28,114,111.69,110.28,107.77,81.597,112.16,109.09,109.38,105.2,111.54,109.85,110.48,109.69,110.73,106.6,109.26,113,110.64,108.77,104.11,104.28,110.3,112.03,108.31,111.03,120,110.22,108.15,90.074,112.33,112.28,120,108.28,112.81,112.32,111.67,112.14,114.89,114.87,120,113.8,109.08,112.78,113.1,107.82,104.58,107.28,107.56,120,108.99,111.4,111.84,111.84,106.65,109.71,110.69,105.17,107.37,110.49,112.38,110.01,108.66,112.19,110.65,112.07,113.41,110.73,109.26,112.17,106.3,113.36,112.85,110.28,89.999,108.91,109.7,113.43,109.78,109.46,113.61,110.79,109.31,111.06,111.57,114.16,113.35,108.67,104.11,111.01,114.17,111.63,105.4
